,eventNum,Detail,Vividness,Valence,Regret,Control,R1,R2,rating,condition,subID,run,trial,fixOnsetTime,jitter1,jitter2,jitter3,jitterStim1,jitterStim2,jitterStim3,jitterResp,jitterAccuracy,memOnsetTime,memRTtime,memRT,cftOnsetTime,endCFT,plausibilityOrder,plausibilityOnsetTime,plausibilityResponse,plausibilityRT,controlOrder,controlOnsetTime,controlResponse,controlRT,difficultyOrder,difficultyOnsetTime,difficultyResponse,difficultyRT,trialEnd,Frequency
1069,58,3,3,4,1,1,7,5,6,Situational,27,3,13,415.375875,0.75,3,0.75,task/Jitter/right3.jpg,task/Jitter/right1.jpg,NaN,[2 2],1,420.00891,421.601837,1.592927,426.025172,434.041291,3,443.624001,4,1454905.54,1,434.557944,1,1454905.727,2,439.090972,3,1454906.43,447.640378,1
1070,67,3,2,4,1,1,6,5,5.5,Dispositional,27,3,14,447.657072,1.5,3,1.5,task/Jitter/right3.jpg,task/Jitter/right2.jpg,NaN,[2 2],1,453.789991,455.141791,1.351801,459.806276,467.822372,2,472.872072,4,1454905.638,1,468.339025,1,1454906.348,3,477.40511,3,1454906.466,481.42148,1
1071,39,2,4,3,6,1,6,7,6.5,Dispositional,27,3,15,481.438127,1.5,4.5,1.5,task/Jitter/right3.jpg,task/Jitter/left3.jpg,task/Jitter/left3.jpg,[2 1 1],1,489.120982,490.231717,1.110735,495.137263,503.153356,2,508.203072,4,1454905.593,3,512.736095,4,1454905.504,1,503.670012,4,1454905.877,516.752474,1
1072,32,2,5,1,7,5,7,7,7,Dispositional,27,3,16,516.769102,1.5,3,0.75,task/Jitter/right2.jpg,task/Jitter/right2.jpg,NaN,[2 2],1,522.135459,523.277637,1.142178,528.151705,536.167849,2,541.217549,4,1454905.767,3,545.750579,4,1454905.493,1,536.684476,4,1454905.767,549.766975,4
1073,49,3,3,4,1,1,6,4,5,Situational,27,4,1,8.038138,0.75,3,1.5,task/Jitter/left2.jpg,task/Jitter/left1.jpg,NaN,[1 1],1,13.421113,14.807683,1.38657,19.4374,27.453512,3,37.036224,2,1455507.08,2,32.503203,1,1455507.357,1,27.970166,4,1455507.955,41.052616,5
1074,73,4,3,2,5,3,6,7,6.5,Dispositional,27,4,2,41.069284,0.75,4.5,1.5,task/Jitter/right1.jpg,task/Jitter/left2.jpg,task/Jitter/left3.jpg,[2 1 1],1,48.002158,49.377637,1.375478,54.018439,62.034527,2,67.08423,4,1455508.136,1,62.551189,4,1455507.435,3,71.617264,4,1455507.496,75.633657,3
1075,27,2,2,4,4,4,6,5,5.5,Situational,27,4,3,75.65028,0.75,3,1.5,task/Jitter/right1.jpg,task/Jitter/right2.jpg,NaN,[2 2],1,81.033299,82.086694,1.053395,87.049576,95.065693,3,104.6484,3,1455507.427,2,100.115374,2,1455507.872,1,95.582336,4,1455508.636,108.664801,1
1076,15,2,2,4,4,7,7,7,7,Dispositional,27,4,4,108.681468,0.75,3,0.75,task/Jitter/left3.jpg,task/Jitter/left2.jpg,NaN,[1 1],1,113.314506,114.754641,1.440135,119.330748,127.346895,2,132.396573,4,1455507.761,3,136.929597,4,1455507.233,1,127.863532,4,1455507.449,140.945981,3
1077,14,3,5,2,7,1,5,4,4.5,Dispositional,27,4,5,140.96266,1.5,4.5,0.75,task/Jitter/left3.jpg,task/Jitter/right3.jpg,task/Jitter/right3.jpg,[1 2 2],1,147.878869,149.394512,1.515643,153.895151,161.911275,2,166.960944,4,1455507.487,3,171.49399,4,1455507.3,1,162.42791,4,1455507.796,175.51037,3
1078,5,5,7,2,7,5,7,6,6.5,Situational,27,4,6,175.527046,0.75,4.5,1.5,task/Jitter/right3.jpg,task/Jitter/right2.jpg,task/Jitter/right2.jpg,[2 2 2],1,182.443268,184.005447,1.562179,188.459518,196.475619,2,201.525311,1,1455507.781,1,196.992289,1,1455507.386,3,206.058346,1,1455507.626,210.074743,3
1079,74,5,4,1,6,1,7,6,6.5,Situational,27,4,7,210.091431,0.75,4.5,0.75,task/Jitter/right3.jpg,task/Jitter/right1.jpg,task/Jitter/right2.jpg,[2 2 2],1,216.274342,217.601435,1.327093,222.290621,230.306712,2,235.356422,1,1455507.513,3,239.889458,1,1455507.202,1,230.82337,1,1455507.76,243.905833,5
1080,60,2,2,4,1,1,6,5,5.5,Dispositional,27,4,8,243.922524,1.5,3,1.5,task/Jitter/right1.jpg,task/Jitter/right3.jpg,NaN,[2 2],1,250.055433,251.560412,1.504979,256.071715,264.087822,2,269.137501,4,1455507.361,1,264.604468,4,1455507.308,3,273.670549,4,1455507.571,277.686931,1
1081,57,2,2,3,4,1,5,4,4.5,Dispositional,27,4,9,277.703612,0.75,4.5,0.75,task/Jitter/left1.jpg,task/Jitter/left2.jpg,task/Jitter/right2.jpg,[1 1 2],1,283.886523,285.154373,1.26785,289.902784,297.918904,1,298.435565,4,1455507.45,3,307.501643,3,1455507.577,2,302.968601,2,1455508.336,311.518021,1
1082,42,4,3,4,1,1,5,5,5,Situational,27,4,10,311.53469,1.5,4.5,0.75,task/Jitter/left3.jpg,task/Jitter/right2.jpg,task/Jitter/right1.jpg,[1 2 2],1,318.467565,320.077305,1.60974,324.483823,332.499952,1,333.016605,1,1455508.004,3,342.082665,1,1455507.038,2,337.549647,2,1455508.269,346.09907,4
1083,21,2,2,4,5,7,7,7,7,Dispositional,27,4,11,346.115741,0.75,3,0.75,task/Jitter/left2.jpg,task/Jitter/right1.jpg,NaN,[1 2],1,350.748761,352.012341,1.263579,356.765042,364.78118,2,369.830833,4,1455507.503,1,365.297798,4,1455507.465,3,374.363878,4,1455507.407,378.380255,1
1084,9,3,4,4,4,3,6,5,5.5,Situational,27,4,12,378.396896,1.5,3,0.75,task/Jitter/right1.jpg,task/Jitter/right3.jpg,NaN,[2 2],1,383.779905,385.288218,1.508313,389.796175,397.812303,2,402.861989,3,1455507.986,3,407.395003,1,1455507.561,1,398.328938,3,1455507.698,411.411408,2
1085,10,7,5,6,5,7,7,7,7,Situational,27,4,13,411.428069,1.5,4.5,1.5,task/Jitter/left2.jpg,task/Jitter/left2.jpg,task/Jitter/left2.jpg,[1 1 1],1,419.077575,420.403243,1.325668,425.093848,433.109959,1,433.6266,1,1455507.833,2,438.159648,1,1455507.556,3,442.692678,1,1455507.296,446.70909,1
1086,34,3,4,3,6,1,5,6,5.5,Dispositional,27,4,14,446.725737,0.75,3,0.75,task/Jitter/left3.jpg,task/Jitter/left3.jpg,NaN,[1 1],1,451.342097,452.487152,1.145054,457.358364,465.374489,3,474.957211,4,1455507.413,1,465.891138,4,1455507.638,2,470.424174,3,1455508.027,478.973592,3
1087,80,4,2,2,6,4,7,7,7,Dispositional,27,4,15,478.990229,1.5,3,0.75,task/Jitter/left2.jpg,task/Jitter/right2.jpg,NaN,[1 2],1,484.373237,486.778095,2.404858,490.389511,498.405632,2,503.455309,4,1455508.175,3,507.988339,3,1455507.303,1,498.922277,2,1455508.126,512.004738,5
1088,38,2,5,4,6,1,5,7,6,Situational,27,4,16,512.021349,0.75,3,1.5,task/Jitter/left2.jpg,task/Jitter/left3.jpg,NaN,[1 1],1,517.404383,522.280051,4.875668,523.420662,531.436775,3,541.019483,3,1455507.013,1,531.953419,3,1455507.897,2,536.486454,3,1455507.226,545.03588,1
1089,49,3,3,4,5,7,6,6,6,Situational,28,1,1,8.046084,1.5,4.5,0.75,task/Jitter/right2.jpg,task/Jitter/left1.jpg,task/Jitter/left1.jpg,[2 1 1],1,14.995607,NA,NA,21.01186,29.027983,3,38.610729,3,1647995.156,1,29.544643,NA,NA,2,34.077665,2,1647995.674,42.627093,1
1090,78,4,3,3,1,1,5,6,5.5,Dispositional,28,1,2,42.643741,1.5,3,0.75,task/Jitter/left3.jpg,task/Jitter/left1.jpg,NaN,[1 1],1,48.026763,NA,NA,54.043005,62.059156,1,62.575795,3,1647996.272,3,71.641867,3,1647995.731,2,67.108828,2,1647994.51,75.658246,2
